介绍,总价/万元,元/平方米,地铁距离,描述,主键
"巨龙台湾城,1室1厅,37.68平  ",135,35828,,奉贤 西渡 |中层/6层 |朝南,sh4267043
"鸿宝一村,1室1厅,38.99平  ",142,36419,,奉贤 西渡 |中层/6层 |朝南北 |1996年建,sh4312837
"鸿宝一村,1室1厅,40.59平  ",155,38186,,奉贤 西渡 |低层/6层 |朝南 |1995年建,sh4356037
"果园新村（奉贤）,1室1厅,46.94平  ",180,38346,,奉贤 西渡 |高层/6层 |朝南 |1996年建,sh4357890
"鸿宝二村,1室1厅,40.95平  ",135,32967,,奉贤 西渡 |高层/6层 |朝,sh4332587
"解放新村,1室1厅,40.6平  ",115,28325,,奉贤 南桥 |高层/6层,sh4297244
"南郊一品,1室1厅,48.0平  ",120,25000,,奉贤 南桥 |低层/18层 |朝北,sh4260614
"鸿宝二村,1室1厅,41.36平  ",140,33849,,奉贤 西渡 |高层/6层 |朝南,sh4313913
"鸿宝二村,1室1厅,46.38平  ",175,37731,,奉贤 西渡 |高层/6层,sh4367946
"鸿宝一村,2室1厅,39.22平  ",200,50994,,奉贤 西渡 |低层/6层 |1998年建,sh4316667
"古华A区,1室1厅,41.04平  ",168,40935,,奉贤 南桥 |高层/6层 |朝南,sh4313657
"菊花苑,1室1厅,47.28平  ",170,35956,,奉贤 西渡 |高层/5层 |朝南 |1999年建,sh4296258
"果园新村（奉贤）,1室1厅,46.73平  ",180,38519,,奉贤 西渡 |中层/6层 |朝南 |1996年建,sh4292772
"鸿宝一村,1室1厅,44.51平  ",150,33700,,奉贤 西渡 |低层/6层,sh4309446
"巨龙台湾城,1室1厅,43.24平  ",155,35846,,奉贤 西渡 |高层/6层,sh4348074
"祥和花园,1室2厅,49.21平  ",280,56899,,奉贤 西渡 |低层/6层 |朝南北,sh4173892
"五环大楼,2室0厅,71.61平  ",380,53065,距离2号线江苏路站698米,长宁 中山公园 |中层/21层 |朝南北 |1993年建,sh4255643
"众众德尚世嘉,2室1厅,80.75平  ",435,53869,距离5号线颛桥站738米,闵行 颛桥 |中层/6层 |朝南北 |2008年建,sh4217268
"天乐新村,2室1厅,76.0平  ",260,34210,距离9号线松江体育中心站917米,松江 松江新城 |低层/6层 |朝 |1998年建,sh4362646
"东力新村,2室1厅,75.49平  ",310,41065,距离12号线申江路站778米,浦东 高行 |高层/6层 |朝南 |2003年建,sh4313491
"齐爱佳苑,2室2厅,81.38平  ",430,52838,距离2号线唐镇站864米,浦东 唐镇 |中层/6层 |朝南北,sh4261017
"上海师大新村,3室0厅,71.0平  ",500,70422,距离12号线虹漕路站792米,徐汇 康健 |中层/6层 |朝西,sh4251326
"人乐三村,2室1厅,78.53平  ",255,32471,距离9号线松江体育中心站577米,松江 松江老城 |高层/6层 |朝南 |1982年建,sh4211444
"大连小区,2室1厅,79.35平  ",625,78764,距离8号线鞍山新村站765米,虹口 临平路 |高层/26层 |朝东 |1994年建,sh4095460
